compound,name,class,cas,receptor,organism,param_type,value_M,ec50_M,relation,species,hill_n,direction,efficacy,evidence_tier,source
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,insect_nAChR,insect,EC50,5e-06,5e-06,exact_compound_related_receptor,Drosophila melanogaster Dalpha6 / heterologous insect alpha6-like receptors,1.0,positive_modulator,1.0,literature_order,"Perry et al. 2015, Insect Biochem Mol Biol 64:106 (Drosophila Dalpha6 is required for spinosad action in vivo); heterologous alpha6 nAChR studies report allosteric activation in the low-micromolar order (EC50 about 5 uM). AGGREGATE ROW (v0.6): the measurement behind this number is alpha6-specific and is recorded subunit-resolved in insect_nAChR_alpha6. The same value is repeated here on the documented aggregate key (no new number was invented) so the legacy g_ach gain rule still fires; read as an aggregate it overstates the receptor population the value applies to."
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder: no mammalian nAChR potency is reported for spinosyns at insecticidal concentrations.
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_nAChR_a7,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,insect_nAChR_alpha6,insect,EC50,5e-06,5e-06,exact_compound_related_receptor,Drosophila melanogaster Dalpha6 (in vivo requirement) / heterologous insect alpha6-like receptors (the exact preparation behind the 5 uM order is not pinned),1.0,positive_modulator,1.0,literature_order,"Perry et al. 2015, Insect Biochem Mol Biol 64:106 (Drosophila Dalpha6 is required for spinosad action in vivo; Dalpha6 knockouts are highly resistant); heterologous alpha6 nAChR studies report allosteric activation in the low-micromolar order (EC50 about 5 uM). SUBUNIT-RESOLVED ROW (v0.6): this is the assay the spinosad number actually came from. The identical value also appears on the aggregate insect_nAChR key so the legacy gain rules keep working; no new number was invented for the split."
sulfoxaflor,Sulfoxaflor,sulfoximine,946578-00-3,insect_nAChR,insect,EC50,0.00015,0.00015,exact_compound_related_receptor,Periplaneta americana DUM neurons (alpha-bungarotoxin-insensitive nAChR),1.0,agonist,1.0,literature_order,"Watson et al. 2011, Pestic Biochem Physiol 101:32 (sulfoxaflor fully activates alpha-bungarotoxin-insensitive nAChRs of cockroach DUM neurons, EC50 about 154 uM); Sparks et al. 2013, Pestic Biochem Physiol 107:1 (mode of action review)."
sulfoxaflor,Sulfoxaflor,sulfoximine,946578-00-3,vertebrate_nAChR_a4b2,vertebrate,EC50,0.001,0.001,class_extrapolation,mammalian (review-level contrast),1.0,agonist,0.2,literature_order,"Sparks et al. 2013, Pestic Biochem Physiol 107:1 (low mammalian nAChR activity reported for sulfoximines). Order-of-magnitude contrast, not a measured EC50."
sulfoxaflor,Sulfoxaflor,sulfoximine,946578-00-3,vertebrate_nAChR_a7,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
sulfoxaflor,Sulfoxaflor,sulfoximine,946578-00-3,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
sulfoxaflor,Sulfoxaflor,sulfoximine,946578-00-3,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
thiamethoxam,Thiamethoxam,neonicotinoid,153719-23-4,insect_nAChR,insect,EC50,0.0001,0.0001,exact_compound_related_receptor,Periplaneta americana neurons and cercal afferent/giant interneuron synapses,1.0,partial_agonist,0.4,literature_order,"Thany 2011, Neuropharmacology 60:587 (thiamethoxam is a poor agonist on isolated cockroach neuronal cell bodies but a full agonist at cercal afferent/giant interneuron synapses); Nauen et al. 2003, Pestic Biochem Physiol 76:55 (thiamethoxam is a precursor converted to clothianidin; binding up to 10000-fold weaker than other neonicotinoids)."
thiamethoxam,Thiamethoxam,neonicotinoid,153719-23-4,vertebrate_nAChR_a7,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder justified by Cartereau et al. 2018, Br J Pharmacol 175: thiamethoxam had no agonist effect on mammalian alpha7, so it is modelled as inactive."
thiamethoxam,Thiamethoxam,neonicotinoid,153719-23-4,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
thiamethoxam,Thiamethoxam,neonicotinoid,153719-23-4,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
thiamethoxam,Thiamethoxam,neonicotinoid,153719-23-4,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
